ukia_uri,ukia_year,ukia_number,legislation_uri
http://www.legislation.gov.uk/id/ukia/2013/140,2013,140,http://www.legislation.gov.uk/id/uksi/2013/2314
http://www.legislation.gov.uk/id/ukia/2020/32,2020,32,http://www.legislation.gov.uk/id/uksi/2020/354
http://www.legislation.gov.uk/id/ukia/2008/290,2008,290,
http://www.legislation.gov.uk/id/ukia/2009/222,2009,222,
http://www.legislation.gov.uk/id/ukia/2013/1056,2013,1056,http://www.legislation.gov.uk/id/ukpga/2013/24
http://www.legislation.gov.uk/id/ukia/2012/369,2012,369,http://www.legislation.gov.uk/id/uksi/2012/2031
http://www.legislation.gov.uk/id/ukia/2016/230,2016,230,http://www.legislation.gov.uk/id/uksi/2016/1125
http://www.legislation.gov.uk/id/ukia/2013/80,2013,80,http://www.legislation.gov.uk/id/ukdsi/2013/9780111100271
http://www.legislation.gov.uk/id/ukia/2014/172,2014,172,http://www.legislation.gov.uk/id/uksi/2014/1512
http://www.legislation.gov.uk/id/ukia/2012/74,2012,74,http://www.legislation.gov.uk/id/uksi/2012/1017
http://www.legislation.gov.uk/id/ukia/2010/233,2010,233,
http://www.legislation.gov.uk/id/ukia/2015/104,2015,104,http://www.legislation.gov.uk/id/uksi/2015/355
http://www.legislation.gov.uk/id/ukia/2022/112,2022,112,http://www.legislation.gov.uk/id/ukdsi/2025/9780348268034
http://www.legislation.gov.uk/id/ukia/2012/391,2012,391,http://www.legislation.gov.uk/id/uksi/2012/2480
http://www.legislation.gov.uk/id/ukia/2011/68,2011,68,
http://www.legislation.gov.uk/id/ukia/2008/196,2008,196,
http://www.legislation.gov.uk/id/ukia/2013/1020,2013,1020,http://www.legislation.gov.uk/id/ukdsi/2013/9780111533802
http://www.legislation.gov.uk/id/ukia/2011/42,2011,42,
http://www.legislation.gov.uk/id/ukia/2011/542,2011,542,http://www.legislation.gov.uk/id/uksi/2011/1517
http://www.legislation.gov.uk/id/ukia/2009/128,2009,128,
http://www.legislation.gov.uk/id/ukia/2011/265,2011,265,
http://www.legislation.gov.uk/id/ukia/2016/136,2016,136,http://www.legislation.gov.uk/id/ukdsi/2016/9780111147221
http://www.legislation.gov.uk/id/ukia/2023/144,2023,144,http://www.legislation.gov.uk/id/ukdsi/2023/9780348252903
http://www.legislation.gov.uk/id/ukia/2020/82,2020,82,http://www.legislation.gov.uk/id/uksi/2020/1317
http://www.legislation.gov.uk/id/ukia/2010/36,2010,36,
http://www.legislation.gov.uk/id/ukia/2019/35,2019,35,http://www.legislation.gov.uk/id/ukdsi/2018/9780111176313
http://www.legislation.gov.uk/id/ukia/2010/416,2010,416,http://www.legislation.gov.uk/id/uksi/2010/3033
http://www.legislation.gov.uk/id/ukia/2010/139,2010,139,
http://www.legislation.gov.uk/id/ukia/2010/10,2010,10,
http://www.legislation.gov.uk/id/ukia/2009/150,2009,150,http://www.legislation.gov.uk/id/uksi/2009/1903
http://www.legislation.gov.uk/id/ukia/2009/1,2009,1,
http://www.legislation.gov.uk/id/ukia/2012/297,2012,297,
http://www.legislation.gov.uk/id/ukia/2017/168,2017,168,http://www.legislation.gov.uk/id/uksi/2017/1240
http://www.legislation.gov.uk/id/ukia/2018/29,2018,29,http://www.legislation.gov.uk/id/ukdsi/2018/9780111165430
http://www.legislation.gov.uk/id/ukia/2024/176,2024,176,http://www.legislation.gov.uk/id/uksi/2024/1216
http://www.legislation.gov.uk/id/ukia/2013/229,2013,229,http://www.legislation.gov.uk/id/uksi/2013/3185
http://www.legislation.gov.uk/id/ukia/2025/108,2025,108,http://www.legislation.gov.uk/id/uksi/2017/943
http://www.legislation.gov.uk/id/ukia/2008/301,2008,301,http://www.legislation.gov.uk/id/ukpga/2009/26
http://www.legislation.gov.uk/id/ukia/2011/448,2011,448,http://www.legislation.gov.uk/id/uksi/2011/3062
http://www.legislation.gov.uk/id/ukia/2010/161,2010,161,http://www.legislation.gov.uk/id/uksi/2010/448
http://www.legislation.gov.uk/id/ukia/2013/251,2013,251,
http://www.legislation.gov.uk/id/ukia/2018/122,2018,122,http://www.legislation.gov.uk/id/uksi/2018/606
http://www.legislation.gov.uk/id/ukia/2025/130,2025,130,http://www.legislation.gov.uk/id/uksi/1997/2367
http://www.legislation.gov.uk/id/ukia/2011/92,2011,92,
http://www.legislation.gov.uk/id/ukia/2009/333,2009,333,
http://www.legislation.gov.uk/id/ukia/2011/470,2011,470,http://www.legislation.gov.uk/id/uksi/2012/630
http://www.legislation.gov.uk/id/ukia/2011/193,2011,193,
http://www.legislation.gov.uk/id/ukia/2012/402,2012,402,http://www.legislation.gov.uk/id/uksi/2012/2619
http://www.legislation.gov.uk/id/ukia/2013/1027,2013,1027,http://www.legislation.gov.uk/id/ukdsi/2013/9780111534656
http://www.legislation.gov.uk/id/ukia/2010/9,2010,9,
http://www.legislation.gov.uk/id/ukia/2012/125,2012,125,
http://www.legislation.gov.uk/id/ukia/2010/86,2010,86,http://www.legislation.gov.uk/id/uksi/2010/654
http://www.legislation.gov.uk/id/ukia/2019/1,2019,1,http://www.legislation.gov.uk/id/ukdsi/2019/9780111174722
http://www.legislation.gov.uk/id/ukia/2019/85,2019,85,http://www.legislation.gov.uk/id/ukdsi/2019/9780111180891
http://www.legislation.gov.uk/id/ukia/2009/39,2009,39,
http://www.legislation.gov.uk/id/ukia/2014/283,2014,283,http://www.legislation.gov.uk/id/uksi/2014/1977
http://www.legislation.gov.uk/id/ukia/2019/154,2019,154,http://www.legislation.gov.uk/id/ukdsi/2019/9780111190487
http://www.legislation.gov.uk/id/ukia/2008/207,2008,207,
http://www.legislation.gov.uk/id/ukia/2010/60,2010,60,
http://www.legislation.gov.uk/id/ukia/2010/344,2010,344,http://www.legislation.gov.uk/id/uksi/2011/228
http://www.legislation.gov.uk/id/ukia/2015/215,2015,215,http://www.legislation.gov.uk/id/uksi/2015/958
http://www.legislation.gov.uk/id/ukia/2009/13,2009,13,
http://www.legislation.gov.uk/id/ukia/2018/79,2018,79,http://www.legislation.gov.uk/id/uksi/2018/586
http://www.legislation.gov.uk/id/ukia/2013/157,2013,157,http://www.legislation.gov.uk/id/uksi/2013/2691
http://www.legislation.gov.uk/id/ukia/2011/653,2011,653,http://www.legislation.gov.uk/id/uksi/2011/744
http://www.legislation.gov.uk/id/ukia/2009/239,2009,239,
http://www.legislation.gov.uk/id/ukia/2011/376,2011,376,http://www.legislation.gov.uk/id/uksi/2011/1773
http://www.legislation.gov.uk/id/ukia/2016/247,2016,247,http://www.legislation.gov.uk/id/uksi/2017/493
http://www.legislation.gov.uk/id/ukia/2012/308,2012,308,
http://www.legislation.gov.uk/id/ukia/2017/47,2017,47,http://www.legislation.gov.uk/id/uksi/2017/135
http://www.legislation.gov.uk/id/ukia/2017/21,2017,21,http://www.legislation.gov.uk/id/nisr/2017/11
http://www.legislation.gov.uk/id/ukia/2014/189,2014,189,http://www.legislation.gov.uk/id/ukdsi/2014/9780111116890
http://www.legislation.gov.uk/id/ukia/2020/9,2020,9,http://www.legislation.gov.uk/id/ukdsi/2020/9780111192351
http://www.legislation.gov.uk/id/ukia/2014/111,2014,111,http://www.legislation.gov.uk/id/uksi/2014/861
http://www.legislation.gov.uk/id/ukia/2009/261,2009,261,
http://www.legislation.gov.uk/id/ukia/2016/15,2016,15,http://www.legislation.gov.uk/id/ukdsi/2016/9780111142899
http://www.legislation.gov.uk/id/ukia/2012/330,2012,330,http://www.legislation.gov.uk/id/ukpga/2012/19
