en_uri,filename,en_type,en_title,en_date,legislation_uri,legislation_class,legislation_year,legislation_number,legislation_title
http://www.legislation.gov.uk/ukpga/2022/45/pdfs/ukpgaen_20220045_en.pdf,ukpgaen_20220045_en,UK Act Explanatory Note,Explanatory Note,2023-09-14,http://www.legislation.gov.uk/id/ukpga/2022/45,UnitedKingdomPublicGeneralAct,2022,45,Identity and Language (Northern Ireland) Act 2022
http://www.legislation.gov.uk/asp/2019/15/pdfs/aspen_20190015_en.pdf,aspen_20190015_en,Scottish Act Explanatory Note,Explanatory Note,2019-12-20,http://www.legislation.gov.uk/id/asp/2019/15,ScottishAct,2019,15,Climate Change (Emissions Reduction Targets) (Scotland) Act 2019
http://www.legislation.gov.uk/ukpga/2022/19/pdfs/ukpgaen_20220019_en.pdf,ukpgaen_20220019_en,UK Act Explanatory Note,Explanatory Note,2022-07-14,http://www.legislation.gov.uk/id/ukpga/2022/19,UnitedKingdomPublicGeneralAct,2022,19,Animals (Penalty Notices) Act 2022
http://www.legislation.gov.uk/asp/2009/12/pdfs/aspen_20090012_en.pdf,aspen_20090012_en,Scottish Act Explanatory Note,Explanatory Note,2009-08-27,http://www.legislation.gov.uk/id/asp/2009/12,ScottishAct,2009,12,Climate Change (Scotland) Act 2009
http://www.legislation.gov.uk/anaw/2016/3/pdfs/anawen_20160003_we.pdf,anawen_20160003_we,Welsh Act Explanatory Note,Explanatory Note,2016-03-24,http://www.legislation.gov.uk/id/anaw/2016/3,WelshNationalAssemblyAct,2016,3,
http://www.legislation.gov.uk/anaw/2016/3/pdfs/anawen_20160003_mi.pdf,anawen_20160003_mi,Welsh Act Explanatory Note,Explanatory Note,2016-03-24,http://www.legislation.gov.uk/id/anaw/2016/3,WelshNationalAssemblyAct,2016,3,
http://www.legislation.gov.uk/anaw/2016/3/pdfs/anawen_20160003_en.pdf,anawen_20160003_en,Welsh Act Explanatory Note,Explanatory Note,2016-03-24,http://www.legislation.gov.uk/id/anaw/2016/3,WelshNationalAssemblyAct,2016,3,
http://www.legislation.gov.uk/nia/2016/29/pdfs/niaen_20160029_en.pdf,niaen_20160029_en,NI Act Explanatory Note,Explanatory Note,2016-09-16,http://www.legislation.gov.uk/id/nia/2016/29,NorthernIrelandAct,2016,29,Assembly Members (Reduction of Numbers) Act (Northern Ireland) 2016
http://www.legislation.gov.uk/ukpga/2009/14/pdfs/ukpgaen_20090014_en.pdf,ukpgaen_20090014_en,UK Act Explanatory Note,Explanatory Note,2009-11-19,http://www.legislation.gov.uk/id/ukpga/2009/14,UnitedKingdomPublicGeneralAct,2009,14,Law Commission Act 2009
http://www.legislation.gov.uk/nia/2016/16/pdfs/niaen_20160016_en.pdf,niaen_20160016_en,NI Act Explanatory Note,Explanatory Note,2016-04-28,http://www.legislation.gov.uk/id/nia/2016/16,NorthernIrelandAct,2016,16,Credit Unions and Co-operative and Community Benefit Societies Act (Northern Ireland) 2016
http://www.legislation.gov.uk/asp/2003/13/pdfs/aspen_20030013_en.pdf,aspen_20030013_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2003/13,ScottishAct,2003,13,Mental Health (Care and Treatment) (Scotland) Act 2003
http://www.legislation.gov.uk/ukpga/2023/52/pdfs/ukpgaen_20230052_en.pdf,ukpgaen_20230052_en,UK Act Explanatory Note,Explanatory Note,2023-11-13,http://www.legislation.gov.uk/id/ukpga/2023/52,UnitedKingdomPublicGeneralAct,2023,52,Energy Act 2023
http://www.legislation.gov.uk/ukpga/2010/26/pdfs/ukpgaen_20100026_en.pdf,ukpgaen_20100026_en,UK Act Explanatory Note,Explanatory Note,2010-04-19,http://www.legislation.gov.uk/id/ukpga/2010/26,UnitedKingdomPublicGeneralAct,2010,26,"Children, Schools and Families Act 2010"
http://www.legislation.gov.uk/nia/2009/7/pdfs/niaen_20090007_en.pdf,niaen_20090007_en,NI Act Explanatory Note,Explanatory Note,2009-07-17,http://www.legislation.gov.uk/id/nia/2009/7,NorthernIrelandAct,2009,7,Budget (No. 2) Act (Northern Ireland) 2009
http://www.legislation.gov.uk/ukpga/2008/10/pdfs/ukpgaen_20080010_en.pdf,ukpgaen_20080010_en,UK Act Explanatory Note,Explanatory Note,2008-08-01,http://www.legislation.gov.uk/id/ukpga/2008/10,UnitedKingdomPublicGeneralAct,2008,10,Sale of Student Loans Act 2008
http://www.legislation.gov.uk/asc/2024/1/pdfs/ascen_20240001_mi.pdf,ascen_20240001_mi,Scottish Church Act Explanatory Note,Explanatory Note,2024-05-07,http://www.legislation.gov.uk/id/asc/2024/1,WelshParliamentAct,2024,1,Health Service Procurement (Wales) Act 2024
http://www.legislation.gov.uk/asc/2024/1/pdfs/ascen_20240001_we.pdf,ascen_20240001_we,Scottish Church Act Explanatory Note,Explanatory Note,2024-05-07,http://www.legislation.gov.uk/id/asc/2024/1,WelshParliamentAct,2024,1,Health Service Procurement (Wales) Act 2024
http://www.legislation.gov.uk/asc/2024/1/pdfs/ascen_20240001_en.pdf,ascen_20240001_en,Scottish Church Act Explanatory Note,Explanatory Note,2024-05-07,http://www.legislation.gov.uk/id/asc/2024/1,WelshParliamentAct,2024,1,Health Service Procurement (Wales) Act 2024
http://www.legislation.gov.uk/ukpga/2020/11/pdfs/ukpgaen_20200011_en.pdf,ukpgaen_20200011_en,UK Act Explanatory Note,Explanatory Note,2021-05-04,http://www.legislation.gov.uk/id/ukpga/2020/11,UnitedKingdomPublicGeneralAct,2020,11,"Divorce, Dissolution and Separation Act 2020"
http://www.legislation.gov.uk/asp/2024/5/pdfs/aspen_20240005_en.pdf,aspen_20240005_en,Scottish Act Explanatory Note,Explanatory Note,2024-09-06,http://www.legislation.gov.uk/id/asp/2024/5,ScottishAct,2024,5,Explanatory Notes to Children (Care and Justice) (Scotland) Act 2024
http://www.legislation.gov.uk/asp/2011/3/pdfs/aspen_20110003_en.pdf,aspen_20110003_en,Scottish Act Explanatory Note,Explanatory Note,2011-03-16,http://www.legislation.gov.uk/id/asp/2011/3,ScottishAct,2011,3,Historic Environment (Amendment) (Scotland) Act 2011
http://www.legislation.gov.uk/ukpga/2022/22/pdfs/ukpgaen_20220022_en.pdf,ukpgaen_20220022_en,UK Act Explanatory Note,Explanatory Note,2022-05-13,http://www.legislation.gov.uk/id/ukpga/2022/22,UnitedKingdomPublicGeneralAct,2022,22,Animal Welfare (Sentience) Act 2022
http://www.legislation.gov.uk/ukpga/2019/5/pdfs/ukpgaen_20190005_en.pdf,ukpgaen_20190005_en,UK Act Explanatory Note,Explanatory Note,2019-03-12,http://www.legislation.gov.uk/id/ukpga/2019/5,UnitedKingdomPublicGeneralAct,2019,5,Crime (Overseas Production Orders) Act 2019
http://www.legislation.gov.uk/asp/2016/4/pdfs/aspen_20160004_en.pdf,aspen_20160004_en,Scottish Act Explanatory Note,Explanatory Note,2016-03-08,http://www.legislation.gov.uk/id/asp/2016/4,ScottishAct,2016,4,Interests of Members of the Scottish Parliament (Amendment) Act 2016
http://www.legislation.gov.uk/asp/2003/2/pdfs/aspen_20030002_en.pdf,aspen_20030002_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2003/2,ScottishAct,2003,2,Land Reform (Scotland) Act 2003
http://www.legislation.gov.uk/asp/2008/3/pdfs/aspen_20080003_en.pdf,aspen_20080003_en,Scottish Act Explanatory Note,Explanatory Note,2008-04-18,http://www.legislation.gov.uk/id/asp/2008/3,ScottishAct,2008,3,Graduate Endowment Abolition (Scotland) Act 2008
http://www.legislation.gov.uk/ukpga/2013/18/pdfs/ukpgaen_20130018_en.pdf,ukpgaen_20130018_en,UK Act Explanatory Note,Explanatory Note,2013-05-02,http://www.legislation.gov.uk/id/ukpga/2013/18,UnitedKingdomPublicGeneralAct,2013,18,Justice and Security Act 2013
http://www.legislation.gov.uk/asp/2014/15/pdfs/aspen_20140015_en.pdf,aspen_20140015_en,Scottish Act Explanatory Note,Explanatory Notes,2015-10-09,http://www.legislation.gov.uk/id/asp/2014/15,ScottishAct,2014,15,City of Edinburgh Council (Portobello Park) Act 2014
